issue_type,category,filename,gender,source,url,note,extra
duplicate_summary,,ojos_6.png,female|unisex,backend/static/assets/eyes/female/ojos_6.png;avatares/eyes/ojos_6.png,,count=2,
duplicate_item,eyes,ojos_6.png,female,backend/static/assets/eyes/female/ojos_6.png,/static/assets/eyes/female/ojos_6.png,,
duplicate_item,eyes,ojos_6.png,unisex,avatares/eyes/ojos_6.png,/static/assets/eyes/unisex/ojos_6.png,,
duplicate_summary,,ojos_5.png,female|unisex,backend/static/assets/eyes/female/ojos_5.png;avatares/eyes/ojos_5.png,,count=2,
duplicate_item,eyes,ojos_5.png,female,backend/static/assets/eyes/female/ojos_5.png,/static/assets/eyes/female/ojos_5.png,,
duplicate_item,eyes,ojos_5.png,unisex,avatares/eyes/ojos_5.png,/static/assets/eyes/unisex/ojos_5.png,,
duplicate_summary,,ojos_4.png,female|unisex,avatares/eyes/ojos_4.png;backend/static/assets/eyes/female/ojos_4.png,,count=2,
duplicate_item,eyes,ojos_4.png,female,backend/static/assets/eyes/female/ojos_4.png,/static/assets/eyes/female/ojos_4.png,,
duplicate_item,eyes,ojos_4.png,unisex,avatares/eyes/ojos_4.png,/static/assets/eyes/unisex/ojos_4.png,,
duplicate_summary,,Medias_maya.png,female|unisex,backend/static/assets/clothes/female/Medias_maya.png;avatares/clothes/Medias_maya.png,,count=2,
duplicate_item,clothes,Medias_maya.png,female,backend/static/assets/clothes/female/Medias_maya.png,/static/assets/clothes/female/Medias_maya.png,,
duplicate_item,clothes,Medias_maya.png,unisex,avatares/clothes/Medias_maya.png,/static/assets/clothes/unisex/Medias_maya.png,,
duplicate_summary,,camisa_miku.png,female|unisex,avatares/clothes/camisa_miku.png;backend/static/assets/clothes/female/camisa_miku.png,,count=2,
duplicate_item,clothes,camisa_miku.png,female,backend/static/assets/clothes/female/camisa_miku.png,/static/assets/clothes/female/camisa_miku.png,,
duplicate_item,clothes,camisa_miku.png,unisex,avatares/clothes/camisa_miku.png,/static/assets/clothes/unisex/camisa_miku.png,,
duplicate_summary,,vestido.png,female|unisex,backend/static/assets/clothes/female/vestido.png;avatares/clothes/vestido.png,,count=2,
duplicate_item,clothes,vestido.png,female,backend/static/assets/clothes/female/vestido.png,/static/assets/clothes/female/vestido.png,,
duplicate_item,clothes,vestido.png,unisex,avatares/clothes/vestido.png,/static/assets/clothes/unisex/vestido.png,,
duplicate_summary,,zapatos_beige.png,female|unisex,avatares/clothes/zapatos_beige.png;backend/static/assets/clothes/female/zapatos_beige.png,,count=2,
duplicate_item,clothes,zapatos_beige.png,female,backend/static/assets/clothes/female/zapatos_beige.png,/static/assets/clothes/female/zapatos_beige.png,,
duplicate_item,clothes,zapatos_beige.png,unisex,avatares/clothes/zapatos_beige.png,/static/assets/clothes/unisex/zapatos_beige.png,,
duplicate_summary,,Corset_rojo.png,female|unisex,backend/static/assets/clothes/female/Corset_rojo.png;avatares/clothes/Corset_rojo.png,,count=2,
duplicate_item,clothes,Corset_rojo.png,female,backend/static/assets/clothes/female/Corset_rojo.png,/static/assets/clothes/female/Corset_rojo.png,,
duplicate_item,clothes,Corset_rojo.png,unisex,avatares/clothes/Corset_rojo.png,/static/assets/clothes/unisex/Corset_rojo.png,,
duplicate_summary,,esqueleto_azul.png,female|unisex,backend/static/assets/clothes/female/esqueleto_azul.png;avatares/clothes/esqueleto_azul.png,,count=2,
duplicate_item,clothes,esqueleto_azul.png,female,backend/static/assets/clothes/female/esqueleto_azul.png,/static/assets/clothes/female/esqueleto_azul.png,,
duplicate_item,clothes,esqueleto_azul.png,unisex,avatares/clothes/esqueleto_azul.png,/static/assets/clothes/unisex/esqueleto_azul.png,,
duplicate_summary,,falda_miku.png,female|unisex,backend/static/assets/clothes/female/falda_miku.png;avatares/clothes/falda_miku.png,,count=2,
duplicate_item,clothes,falda_miku.png,female,backend/static/assets/clothes/female/falda_miku.png,/static/assets/clothes/female/falda_miku.png,,
duplicate_item,clothes,falda_miku.png,unisex,avatares/clothes/falda_miku.png,/static/assets/clothes/unisex/falda_miku.png,,
duplicate_summary,,falda_2.png,female|unisex,avatares/clothes/falda_2.png;backend/static/assets/clothes/female/falda_2.png,,count=2,
duplicate_item,clothes,falda_2.png,female,backend/static/assets/clothes/female/falda_2.png,/static/assets/clothes/female/falda_2.png,,
duplicate_item,clothes,falda_2.png,unisex,avatares/clothes/falda_2.png,/static/assets/clothes/unisex/falda_2.png,,
duplicate_summary,,camisa_cafe.png,female|unisex,avatares/clothes/camisa_cafe.png;backend/static/assets/clothes/female/camisa_cafe.png,,count=2,
duplicate_item,clothes,camisa_cafe.png,female,backend/static/assets/clothes/female/camisa_cafe.png,/static/assets/clothes/female/camisa_cafe.png,,
duplicate_item,clothes,camisa_cafe.png,unisex,avatares/clothes/camisa_cafe.png,/static/assets/clothes/unisex/camisa_cafe.png,,
duplicate_summary,,zapatos_rosados.png,female|unisex,avatares/clothes/zapatos_rosados.png;backend/static/assets/clothes/female/zapatos_rosados.png,,count=2,
duplicate_item,clothes,zapatos_rosados.png,female,backend/static/assets/clothes/female/zapatos_rosados.png,/static/assets/clothes/female/zapatos_rosados.png,,
